rank,name,value
625,Parris Duffus,0
625,Bob Dupuis,0
625,Brian Eklund,0
625,Olle Eriksson Ek,0
625,Randy Exelby,0
625,Brian Finley,0
625,Brian Foster,0
625,Scott Foster,0
625,Jeff Frazee,0
625,Karl Friesen,0
625,Yutaka Fukufuji,0
625,Kaden Fulcher,0
625,Dave Gagnon,0
625,Tyrone Garner,0
625,Sean Gauthier,0
625,Harrison Gray,0
625,Mike Greenlay,0
625,Brandon Halverson,0
625,Adam Hauser,0
625,Cal Heeter,0
625,Riku Helenius,0
625,Thomas Hodges,0
625,Paul Hoganson,0
625,Ken Holland,0
625,Chris Holt,0
625,Martin Houle,0
625,Shawn Hunwick,0
625,Adam Huska,0
625,Randy Ireland,0
625,Robbie Irons,0
625,Pauli Jaks,0
625,Steve Janaszak,0
625,Joe Junkin,0
625,Jason Kasdorf,0
625,Kasimir Kaskisuo,0
625,Matt Keetley,0
625,Scott King,0
625,Terry Kleisinger,0
625,Connor Knapp,0
625,Evgeny Konstantinov,0
625,Brent Krahn,0
625,Patrick Labrecque,0
625,Rick LaFerriere,0
625,Jack LaFontaine,0
625,Simon Lajeunesse,0
625,Marek Langhamer,0
625,Michel Larocque,0
625,Jan Lasak,0
625,Claude Legris,0
625,Tristan Lennox,0
625,Jean-Louis Levasseur,0
625,Neil Little,0
625,David Littman,0
625,Ron Loustel,0
625,Drew MacIntyre,0
625,Shawn MacKenzie,0
625,Andrey Makarov,0
625,Zane McIntyre,0
625,Ross McKay,0
625,Steve McKichan,0
625,Murray McLachlan,0
625,Michael McNiven,0
625,Rob McVicar,0
625,Alexei Melnichuk,0
625,Alfie Michaud,0
625,Olivier Michaud,0
625,Thomas Milic,0
625,Jean-Guy Morissette,0
625,Jerome Mrazek,0
625,Mike Murphy,0
625,Gregg Naumenko,0
625,Matt O'Connor,0
625,Dan Olesevich,0
625,Mike O'Neill,0
625,Victor Ostman,0
625,Ted Ouimet,0
625,Paul Pageau,0
625,Bob Parent,0
625,Dimitri Patzold,0
625,Alexander Pechurski,0
625,Marcel Pelletier,0
625,Yaniv Perets,0
625,Timo Pielmeier,0
625,Tomas Popperle,0
625,Chris Pusey,0
625,Bruce Racine,0
625,Jamie Ram,0
625,Alain Raymond,0
625,Greg Redquest,0
625,Bob Ring,0
625,Olivier Rodrigue,0
625,Georgi Romanov,0
625,Pat Rupp,0
625,Jussi Rynnas,0
625,Alexander Salak,0
625,Mike Sands,0
625,Joe Schaefer,0
625,Paxton Schafer,0
625,Marek Schwarz,0
625,Travis Scott,0
625,Gilles Senn,0
625,Scott Sharples,0
625,Jordan Sigalet,0
625,Jakub Skarek,0
625,Bob Sneddon,0
625,Christian Soucy,0
625,Jim Stewart,0
625,Ales Stezka,0
625,Don Sylvestri,0
625,Josh Tordjman,0
625,Niklas Treutle,0
625,Matt Underhill,0
625,Veini Vehvilainen,0
625,Mark Visentin,0
625,Jim Watt,0
625,Tyler Weiman,0
625,Dylan Wells,0
625,Adam Wilcox,0
625,Jordan Willis,0
625,Roman Will,0
625,Vitali Yeremeyev,0
625,Matt Zaba,0
625,Artyom Zagidulin,0
